method,1,2,3,4,5,6,7,8,9,10
Desktop,1080,1483,1910,1878,2110,2437,2637,2762,2787,2930
Mobile,43076,53137,50806,56110,50623,48435,42105,42265,39610,37264
Open311,446,811,1354,1686,1494,1536,1940,1579,1402,1707
Unclear,82423,97216,107494,118713,117256,122276,132321,125089,126431,122185
