status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,56513,60386,64222,66958,71079,80553,81267,92451,99948,101592
Reported Fixed,24158,32095,39074,39030,42764,51477,49410,60570,64682,61105
