status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5497,3829,2954,2917,2795,2807,3215,3546,3562,3972
Reported Fixed,2312,2025,1314,1703,1549,1672,1594,1927,2013,2003
