status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,115195,99712,78215,66625,67271,71651,71037,70270,73958,61035
Reported Fixed,111213,67488,46185,35180,33331,33708,34193,35600,37515,29952
