status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3618,4538,4218,5083,4761,5358,6180,5961,5890,6940
Reported Fixed,1185,1718,1761,2254,1935,2026,2459,2690,2801,3358
