method,1,2,3,4,5,6,7,8,9,10
Desktop,1097,1392,1715,1941,2181,2028,2339,2480,2549,2660
Mobile,31969,35041,37142,45346,48932,46829,51429,44322,42374,41963
Open311,987,1689,1446,1371,1180,1016,1452,1618,1879,1317
Unclear,78874,90678,94041,102430,106334,105954,112186,115480,116185,117446
