year,1,2,3,4,5,6,7,8,9,10
2007,681,777,941,994,939,924,828,899,923,1011
2008,1617,1495,1664,1879,1837,1835,1923,1680,1888,2050
2009,3168,3078,3063,3569,3660,3628,3694,3591,3852,4302
2010,3560,4011,3985,4611,4905,4858,5194,5060,5428,6634
2011,4256,4471,4530,4898,4899,5276,5434,5312,5622,6645
2012,4518,4805,5105,5408,5484,5930,6070,6118,6815,7544
2013,5253,5586,5909,6564,6826,7548,7923,8088,9467,10017
2014,6390,7262,7878,8293,8855,9057,9631,10123,11134,12678
2015,8018,8529,10736,10574,10557,10974,10344,10635,11215,12374
2016,9714,12602,14947,14738,13788,14388,13672,13757,14203,15370
2017,9967,12587,14401,15280,14726,14439,14632,14477,15369,16752
2018,12227,15121,17706,18670,19101,18823,18791,19741,21261,23141
2019,15750,19310,23477,25176,25516,25597,24509,24505,25383,28295
2020,19809,23401,28869,32388,30544,31696,31333,34617,35202,41310
