status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5639,5196,5247,6694,6076,6759,8377,8093,6899,7473
Reported Fixed,2095,2349,2336,3131,3108,3204,3891,4103,3610,4017
