status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3040,3100,3981,3912,3689,3104,4198,3776,2840,3456
Reported Fixed,1617,1884,1696,1608,2178,1490,2042,1967,1631,2001
