year,1,2,3,4,5,6,7,8,9,10
2007,712,849,844,935,989,916,823,905,887,1057
2008,1561,1642,2040,1675,1799,1818,1741,1707,1735,2150
2009,3177,3366,3514,3506,3299,3384,3625,3764,3735,4235
2010,3726,4277,4587,4424,4400,4451,4694,5093,5661,6933
2011,4532,4899,4663,4866,4697,4723,5024,5339,5645,6955
2012,4762,5407,5149,5278,5311,5464,5949,6012,6526,7939
2013,5703,5966,5871,6183,6585,6815,7246,7944,9265,11603
2014,6861,7649,7879,7522,7959,8115,8912,9506,11668,15230
2015,7825,8553,9635,10641,9909,9913,9945,10642,11689,15204
2016,10051,11696,12874,14407,13542,14372,13240,13793,14640,18564
2017,10230,11895,13204,14090,13858,14766,13614,14738,15444,20791
2018,12221,13761,15689,16976,17082,18846,17981,20402,21915,29709
2019,14462,16818,20082,22306,22969,26417,23765,27259,27129,36311
2020,16847,20516,25634,26479,29265,34178,32505,37511,36341,49893
