status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,95023,94422,97881,89000,94756,88133,88668,89958,91031,95777
Reported Fixed,54999,65313,68966,62170,60968,52775,51961,48805,50800,57886
