status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,12469,6991,5355,5470,5366,5620,6690,7038,5992,5462
Reported Fixed,5050,3066,2439,2497,2600,2911,2968,3627,3319,3367
