status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,58353,63354,67740,74712,75332,78120,78402,83880,90792,104284
Reported Fixed,27722,38210,50829,51008,48903,47402,46545,46454,50808,56484
