status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,71755,76946,80391,88188,87983,92900,95406,92722,90459,84134
Reported Fixed,32656,52886,54610,58090,52533,51749,51431,51024,51246,46401
