status-council,A1,B1,C1,C2,D1,D2,E1,E2
No,386697.0,43013.0,478222.0,2049.0,99495.0,2713.0,133805.0,7698.0
Yes,89691.0,,25508.0,62.0,6639.0,36.0,10473.0,354.0
