year,1,2,3,4,5,6,7,8,9,10
2007,760,847,954,1164,918,1000,875,808,775,816
2008,1646,1688,1911,1941,1794,2083,1842,1644,1711,1608
2009,3236,3260,3561,3748,3715,3969,3793,3401,3617,3305
2010,3773,4063,4406,4938,5104,5378,5350,4783,5091,5360
2011,4525,4640,4651,5407,5156,5502,5476,5214,5487,5285
2012,4788,5013,5381,5838,5925,6289,6446,5937,6210,5970
2013,5592,5840,6228,7059,7719,8343,8683,7653,8459,7605
2014,6610,8121,7999,9104,9402,9712,10671,9774,10269,9639
2015,8011,10653,11124,11280,10664,11053,11338,10439,10354,9040
2016,10418,15411,15249,15781,14363,15119,13941,12529,12853,11515
2017,11305,14742,15135,16588,14900,15333,14714,13389,13783,12741
2018,13755,17418,18253,20713,19205,20344,19482,18485,19400,17527
2019,17646,21751,25722,28793,25770,26314,24587,23172,23205,20558
2020,21188,25754,31825,34784,33318,34500,34536,32033,30736,30495
