status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,142733,129594,111722,96975,85800,79998,77103,71214,67661,61849
Reported Fixed,98534,96039,76456,63595,52148,45378,40845,36182,34643,30823
