year,1,2,3,4,5,6,7,8,9,10
2007,835,927,1016,1212,1055,1002,1057,926,936,970
2008,1982,2048,2206,2354,2262,2335,2536,2113,2275,2365
2009,3677,3718,3932,4235,4329,4328,4545,4014,4192,4051
2010,4336,4680,4931,5601,5737,5860,6239,5691,6020,6466
2011,5398,5519,5290,6213,6078,6372,6550,6445,6777,6715
2012,5552,5732,6015,6540,6829,7020,7352,7101,7235,7263
2013,6318,6522,6747,7584,8470,9055,9781,8889,9331,9086
2014,7483,9020,8602,9792,10253,10416,11892,11052,11489,11156
2015,8888,11493,11715,12134,11621,11583,12565,12004,11686,10679
2016,11505,16435,16132,16835,15534,15867,15459,14751,14333,13529
2017,12519,15926,15946,17541,16227,16297,16027,15480,15396,14857
2018,15595,19093,19462,21984,21167,21849,21886,21411,21667,20261
2019,19567,23554,26820,30010,27157,27092,26651,26161,25434,23088
2020,23370,27980,32750,36352,34764,35608,36463,35657,33459,33600
