year,1,2,3,4,5,6,7,8,9,10
2007,1420,1333,916,991,917,859,924,966,837,773
2008,2475,2313,2203,2014,2383,2326,2350,2098,2020,2294
2009,4286,4393,3708,3997,4321,4133,4002,3901,3891,4389
2010,4837,4985,4734,5023,5531,5634,5699,5771,6366,6981
2011,4866,5296,5355,5491,6193,6498,6425,6291,7056,7886
2012,5948,5885,5744,5687,6331,6629,6765,7004,7492,9209
2013,6287,6558,6831,6918,7386,7779,8123,8564,9921,13562
2014,8158,9312,8850,8851,9388,10027,9773,10676,11930,14328
2015,12255,12794,10576,9372,9768,10734,10894,11497,12601,14106
2016,19444,19423,13881,12265,12053,12916,12899,13982,15293,18484
2017,19664,19553,14476,13117,12945,12867,13347,14683,16328,19574
2018,22196,23619,17284,16957,16010,16542,17576,18826,23717,32054
2019,29615,32352,22460,20745,18920,19650,21025,22040,28787,40293
2020,31869,36133,26198,26350,26335,26270,27490,30828,41624,57294
