status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,71569,81625,88575,93972,94500,95655,97690,97709,100977,102377
Reported Fixed,38190,57303,61577,68618,60505,57792,54591,58484,58366,59217
