status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,2697,3547,3528,3477,3424,3130,3608,3231,3938,4494
Reported Fixed,1268,1647,1839,1713,1552,1538,1801,1784,2345,2621
