year,1,2,3,4,5,6,7,8,9,10
2012,3793,4051,4023,4069,4694,5233,5615,6159,6846,7205
2013,4931,5437,5656,6234,6387,7155,8383,8875,10090,10033
2014,5645,7231,7179,7965,8242,9071,10106,10727,12330,12805
2015,6578,8440,9045,9776,9924,10831,11164,12226,13131,12841
2016,8150,10840,11778,12432,12781,14765,14632,16865,17708,17228
2017,9314,10770,11886,12499,13548,15517,14531,17533,18680,18352
2018,11342,12910,14982,15109,16200,19529,19119,22890,24770,22409
2019,13274,14863,16768,16774,19008,21963,20747,25011,27530,26303
2020,17644,17939,21979,21130,23059,27966,26380,32735,33545,35521
