status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,69237,77758,81948,84970,88675,91491,104260,107611,112772,105927
Reported Fixed,35560,41447,47780,54665,53626,64094,70005,71384,72042,64040
