gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,105.0,123.0,137.0,167.0,149.0,175.0,227.0,257.0,256.0,228.0
Male Representatives,219.0,290.0,289.0,303.0,312.0,420.0,461.0,526.0,430.0,455.0
