type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),66.0,119.0,94.0,98.0,87.0,105.0,206.0,255.0,169.0,126.0
Councillors,95.0,100.0,125.0,110.0,110.0,68.0,125.0,109.0,112.0,143.0
Lords,2.0,2.0,7.0,,7.0,11.0,4.0,10.0,1.0,4.0
MEP,29.0,27.0,33.0,47.0,35.0,25.0,74.0,58.0,66.0,56.0
MP,165.0,209.0,231.0,218.0,256.0,314.0,398.0,423.0,336.0,363.0
