gender_of_rep,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female Representatives,3612,4089,6664,4864,4381,5813,3812,4090,3334,5805,1686,1316
Male Representatives,7327,7355,13230,9326,8689,11514,6945,7303,6462,10875,2701,2087
