gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3626,3188,3247,3217,3364,3620,3869,4236,4752,5886
Male Representatives,9097,7074,6846,6535,6734,6433,6509,6963,7152,7782
