gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,399.0,282.0,223.0,202.0,189.0,207.0,229.0,246.0,267.0,198.0
Male Sender,361.0,251.0,247.0,233.0,248.0,331.0,266.0,241.0,290.0,281.0
