answer_survey,1,2,3,4,5,6,7,8,9,10
No,157.0,289.0,298.0,309.0,300.0,415.0,365.0,439.0,385.0,541.0
Yes,130.0,121.0,165.0,208.0,193.0,261.0,319.0,326.0,293.0,318.0
