type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),883.0,1003.0,708.0,552.0,331.0,230.0,134.0,71.0,14.0,33.0
Councillors,4350.0,4131.0,4123.0,3978.0,3519.0,3261.0,2740.0,2611.0,2643.0,2415.0
Lords,133.0,106.0,131.0,118.0,98.0,126.0,96.0,103.0,90.0,69.0
MEP,2179.0,2150.0,1872.0,1903.0,1555.0,1457.0,1338.0,1396.0,1316.0,1255.0
MP,7802.0,7110.0,7248.0,7185.0,6582.0,6412.0,6359.0,6283.0,6302.0,5844.0
