type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),104.0,125.0,83.0,87.0,133.0,125.0,188.0,147.0,176.0,157.0
Councillors,115.0,128.0,109.0,96.0,124.0,123.0,96.0,134.0,89.0,84.0
Lords,5.0,5.0,,3.0,9.0,10.0,2.0,5.0,7.0,2.0
MEP,22.0,47.0,39.0,35.0,39.0,8.0,61.0,78.0,57.0,64.0
MP,192.0,219.0,222.0,227.0,248.0,280.0,346.0,354.0,436.0,386.0
