gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,348.0,445.0,435.0,553.0,670.0,828.0,822.0,879.0,847.0,1173.0
Male Representatives,745.0,937.0,884.0,1155.0,1464.0,1751.0,1825.0,2243.0,2016.0,2833.0
