type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,516.0,558.0,501.0,534.0,541.0,598.0,720.0,713.0,872.0,965.0
Lords,2.0,1.0,3.0,10.0,4.0,3.0,12.0,10.0,22.0,4.0
MEP,59.0,48.0,53.0,88.0,86.0,150.0,121.0,119.0,101.0,143.0
MP,210.0,225.0,232.0,259.0,361.0,443.0,472.0,561.0,578.0,627.0
MSP,477.0,659.0,645.0,906.0,1061.0,1529.0,1977.0,1932.0,1957.0,2237.0
