gender_of_sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Sender,597,247,238,130,192,440,1195,2437,3650,4530,4644,4697,4548,4093,4043,4316,4697,5035,4479,4243,3725,3331,2267,1167
Male Sender,687,403,221,196,231,537,1047,2423,3983,4926,5106,5119,5084,4777,4666,4748,5052,4906,4308,3907,3535,3221,2246,1255
