gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3382,4358,4563,4868,5032,5554,5290,5356,5210,5400
Male Representatives,5245,6517,7058,8288,9476,10367,10545,11019,11306,13147
