gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,5964,6040,6049,5819,5332,5312,4949,4553,4373,3673
Male Sender,6094,6198,6303,6316,5635,5879,5173,4736,5165,5281
