gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,5992,4552,4724,4402,4831,4823,5012,5344,5651,6733
Male Sender,6897,5727,5218,5299,5025,5088,5335,5731,6007,6453
