gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3317,4276,4501,4920,4852,5288,5152,5181,5134,5209
Male Representatives,5081,6458,6866,8142,9160,10031,10321,10825,10952,12848
