gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,3148,3973,4892,5178,5369,5563,5832,5752,6147,6210
Male Sender,3487,4336,4751,5216,5749,6057,6324,6529,7068,7263
