answer_survey,1,2,3,4,5,6,7,8,9,10
No,517.0,348.0,263.0,335.0,324.0,274.0,279.0,392.0,281.0,487.0
Yes,498.0,233.0,172.0,183.0,187.0,190.0,189.0,230.0,195.0,254.0
