type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,526.0,551.0,536.0,516.0,553.0,656.0,753.0,781.0,783.0,863.0
Lords,3.0,,3.0,8.0,7.0,3.0,15.0,20.0,7.0,5.0
MEP,59.0,49.0,59.0,76.0,123.0,109.0,141.0,143.0,102.0,107.0
MP,189.0,221.0,244.0,305.0,309.0,435.0,542.0,621.0,529.0,573.0
MSP,412.0,609.0,759.0,900.0,1094.0,1736.0,1850.0,2192.0,1912.0,1916.0
