gender_of_rep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Representatives,454,231,160,118,146,349,784,1595,2631,3316,3485,3424,3361,3120,3053,3109,3440,3410,3064,2824,2504,2349,1633,906
Male Representatives,834,425,316,217,304,640,1554,3219,5007,6265,6499,6654,6278,5874,5745,6063,6418,6543,5787,5336,4880,4318,2993,1645
