type_of_recipient,Urban,Rural,More Rural
AM (London),3961.0,,22.0
AM (Northern Ireland),1832.0,268.0,674.0
AM (Wales),793.0,177.0,358.0
Councillors,37005.0,2644.0,2821.0
Lords,1032.0,106.0,166.0
MEP,13945.0,1727.0,2400.0
MP,57166.0,8506.0,9593.0
MSP,8871.0,1323.0,3274.0
