gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3946,4642,4722,4663,4233,4121,3596,3195,2969,2918
Male Representatives,7768,7690,7882,7578,7125,7234,6754,6427,6635,6032
