gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,2201,2523,2864,3141,3728,4025,4532,4909,5207,5875
Male Representatives,3475,4466,5531,6105,6926,7379,8149,8582,9332,11180
