type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),50.0,552.0,540.0,629.0,430.0,465.0,435.0,332.0,373.0,153.0
AM (Northern Ireland),244.0,254.0,526.0,636.0,686.0,398.0,,,,
AM (Wales),89.0,114.0,129.0,196.0,129.0,310.0,134.0,106.0,105.0,13.0
Councillors,3444.0,4149.0,4226.0,4172.0,4304.0,4314.0,4301.0,4314.0,4364.0,4352.0
Lords,87.0,86.0,103.0,131.0,176.0,141.0,170.0,152.0,137.0,100.0
MEP,952.0,1529.0,1354.0,1644.0,1903.0,1921.0,2100.0,2152.0,2080.0,2339.0
MP,4312.0,4925.0,5641.0,6729.0,7631.0,8384.0,8565.0,9053.0,9288.0,10098.0
MSP,417.0,537.0,518.0,551.0,938.0,1733.0,1916.0,1812.0,1697.0,3261.0
