type_of_recipient,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AM (London),368.0,470.0,434.0,527.0,290.0,804.0,449.0,431.0,10.0,26.0,33.0,141.0
AM (Northern Ireland),35.0,131.0,297.0,245.0,254.0,106.0,78.0,62.0,115.0,1393.0,29.0,29.0
AM (Wales),89.0,76.0,120.0,127.0,115.0,124.0,102.0,174.0,149.0,99.0,54.0,99.0
Councillors,3737.0,3954.0,4757.0,3857.0,2395.0,4005.0,4160.0,3493.0,3119.0,3563.0,3027.0,2403.0
Lords,95.0,106.0,164.0,159.0,94.0,132.0,155.0,81.0,82.0,95.0,81.0,60.0
MEP,1227.0,1082.0,2441.0,2609.0,1459.0,1362.0,2032.0,1995.0,1070.0,1213.0,774.0,808.0
MP,6044.0,6281.0,13096.0,6890.0,5993.0,9561.0,4818.0,5723.0,5291.0,11018.0,550.0,
MSP,456.0,597.0,860.0,1232.0,3814.0,3043.0,229.0,597.0,920.0,1142.0,312.0,266.0
