gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,7027,7597,5300,4672,4457,4492,4637,4894,4650,4338
Male Sender,7051,6659,5354,5256,5007,5088,5514,5871,5798,5182
