type_of_recipient,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
AM (London),550,690,939,699,546,331,228
AM (Northern Ireland),228,341,573,344,713,399,176
AM (Wales),181,198,259,297,207,99,87
Councillors,7144,7331,8081,6628,5633,3783,3870
Lords,176,162,260,223,253,126,104
MEP,2169,2754,3504,3667,2757,1451,1770
MP,9849,13000,16958,13735,10286,5718,5719
MSP,1926,2513,1798,2738,2555,781,1157
