gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,110.0,185.0,200.0,209.0,189.0,255.0,344.0,337.0,313.0,300.0
Male Sender,198.0,201.0,236.0,215.0,254.0,221.0,380.0,445.0,300.0,299.0
