type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,652.0,708.0,789.0,651.0,710.0,668.0,612.0,581.0,595.0,552.0
Lords,6.0,2.0,5.0,8.0,4.0,2.0,3.0,12.0,23.0,6.0
MEP,63.0,72.0,74.0,110.0,104.0,122.0,85.0,91.0,156.0,91.0
MP,308.0,319.0,298.0,371.0,394.0,449.0,407.0,445.0,503.0,474.0
MSP,886.0,1194.0,1214.0,1168.0,1220.0,1419.0,1346.0,1519.0,1796.0,1618.0
