type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),39.0,436.0,511.0,458.0,545.0,430.0,454.0,303.0,381.0,402.0
Councillors,2644.0,3367.0,3522.0,3700.0,3473.0,3489.0,3459.0,3367.0,3465.0,3285.0
Lords,64.0,73.0,109.0,85.0,125.0,91.0,142.0,108.0,150.0,123.0
MEP,874.0,1208.0,1572.0,1267.0,1544.0,1985.0,1791.0,1868.0,2113.0,2199.0
MP,3934.0,4457.0,5400.0,6245.0,6894.0,7071.0,7629.0,8032.0,8606.0,8859.0
