type_of_recipient,No,Yes
AM (London),3824,159
AM (Northern Ireland),2499,275
AM (Wales),1127,201
Councillors,35236,7234
Lords,606,698
MEP,16742,1330
MP,29436,45829
MSP,12049,1419
