gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,9713,7496,6175,6097,5999,6241,6284,5568,5942,8820
Male Sender,8782,7265,6449,6507,6359,6742,6982,6920,6837,9102
