gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,6448,6125,5984,6055,5252,4952,4456,4253,4508,4031
Male Sender,6936,6507,6372,6149,5414,5341,5172,5289,4854,4746
