gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3021,3120,3556,4165,4079,4335,4018,4085,4216,4410
Male Representatives,4163,4854,5520,6601,6241,7535,7962,8292,9427,10530
