got_response,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,313,140,95,82,103,236,665,1374,2092,2547,2540,2586,2269,2148,2170,2315,2965,3154,2504,2206,1989,1699,1139,636
Yes,154,83,57,40,51,132,277,638,1093,1323,1466,1412,1372,1303,1385,1340,1177,1205,1134,1020,901,770,552,293
