gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,142.0,149.0,135.0,131.0,168.0,133.0,250.0,234.0,259.0,223.0
Male Representatives,264.0,341.0,284.0,291.0,359.0,397.0,409.0,448.0,471.0,439.0
