gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,8273,4379,3580,3581,3300,3188,3253,3447,3045,2959
Male Representatives,9140,7379,6690,6508,6390,6307,6965,6964,7163,7619
