got_response,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,2872,3031,6083,3493,2875,5115,2808,2860,2554,5417,530,329
Yes,1821,1772,2760,1790,1719,2069,1513,1371,1559,2017,501,286
