type_of_recipient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AM (London),59.0,24.0,25.0,4.0,23.0,36.0,42.0,142.0,174.0,269.0,263.0,186.0,223.0,178.0,276.0,299.0,383.0,286.0,228.0,176.0,240.0,179.0,150.0,118.0
AM (Northern Ireland),24.0,5.0,6.0,8.0,5.0,,13.0,41.0,136.0,172.0,211.0,175.0,177.0,190.0,174.0,257.0,262.0,146.0,171.0,159.0,102.0,186.0,88.0,66.0
AM (Wales),13.0,9.0,,4.0,2.0,9.0,17.0,35.0,60.0,83.0,105.0,102.0,80.0,92.0,90.0,69.0,86.0,109.0,72.0,69.0,75.0,75.0,53.0,19.0
Councillors,323.0,178.0,121.0,85.0,117.0,250.0,575.0,1208.0,2088.0,2964.0,3383.0,3337.0,3281.0,3056.0,2953.0,2971.0,2798.0,2546.0,2430.0,2219.0,1982.0,1624.0,1271.0,710.0
Lords,28.0,6.0,10.0,8.0,7.0,9.0,15.0,30.0,52.0,62.0,95.0,102.0,118.0,80.0,89.0,86.0,91.0,85.0,67.0,63.0,63.0,58.0,46.0,34.0
MEP,228.0,118.0,102.0,78.0,76.0,169.0,348.0,639.0,1046.0,1106.0,1127.0,1256.0,1347.0,1236.0,1108.0,1260.0,1031.0,1166.0,1081.0,993.0,748.0,879.0,592.0,338.0
MP,669.0,334.0,223.0,183.0,234.0,535.0,1344.0,2787.0,4270.0,5003.0,5075.0,4989.0,4634.0,4370.0,4439.0,4590.0,5506.0,5884.0,4727.0,4339.0,3891.0,3481.0,2427.0,1331.0
MSP,85.0,49.0,31.0,6.0,25.0,84.0,220.0,457.0,652.0,899.0,818.0,974.0,852.0,763.0,598.0,637.0,769.0,793.0,1024.0,1033.0,1100.0,898.0,504.0,197.0
