type_of_recipient,Female,Male
AM (London),1697,1610
AM (Northern Ireland),1573,930
AM (Wales),563,637
Councillors,20106,17441
Lords,460,677
MEP,7102,8964
MP,31274,36371
MSP,6166,5954
