first_use,1,2,3,4,5,6,7,8,9,10
No,369.0,159.0,114.0,119.0,123.0,131.0,121.0,156.0,131.0,181.0
Yes,129.0,74.0,58.0,64.0,64.0,59.0,68.0,74.0,64.0,73.0
