gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,187.0,200.0,198.0,118.0,194.0,167.0,208.0,161.0,210.0,181.0
Male Representatives,369.0,333.0,330.0,264.0,412.0,434.0,412.0,351.0,375.0,425.0
